Prompting_Approach,Model,Iteration,CR
Chain_of_Thoghts,Claude_3.7,1,0.03387
Chain_of_Thoghts,Claude_3.7,2,0.02263
Chain_of_Thoghts,Claude_3.7,3,0.03416
Chain_of_Thoghts,Claude_3.7_Thinking,1,0.03786
Chain_of_Thoghts,Claude_3.7_Thinking,2,0.05317
Chain_of_Thoghts,Claude_3.7_Thinking,3,0.02972
Chain_of_Thoghts,DeepSeek_R1,1,0.09784
Chain_of_Thoghts,DeepSeek_R1,2,0.08967
Chain_of_Thoghts,DeepSeek_R1,3,0.02468
Chain_of_Thoghts,GPT_4.1,1,0.0591
Chain_of_Thoghts,GPT_4.1,2,0.07053
Chain_of_Thoghts,GPT_4.1,3,0.0843
Chain_of_Thoghts,Gemini_2.5_Pro,1,0.09087
Chain_of_Thoghts,Gemini_2.5_Pro,2,0.08963
Chain_of_Thoghts,Gemini_2.5_Pro,3,0.05802
Chain_of_Thoghts,o3,1,0.0071
Chain_of_Thoghts,o3,2,0.01847
Chain_of_Thoghts,o3,3,0.04786
Expert_Panel,Claude_3.7,1,0.04305
Expert_Panel,Claude_3.7,2,0.02199
Expert_Panel,Claude_3.7,3,0.03995
Expert_Panel,Claude_3.7_Thinking,1,0.01947
Expert_Panel,Claude_3.7_Thinking,2,0.01892
Expert_Panel,Claude_3.7_Thinking,3,0.0494
Expert_Panel,DeepSeek_R1,1,0.07405
Expert_Panel,DeepSeek_R1,2,0.0592
Expert_Panel,DeepSeek_R1,3,0.08153
Expert_Panel,GPT_4.1,1,0.0357
Expert_Panel,GPT_4.1,2,0.01921
Expert_Panel,GPT_4.1,3,0.02226
Expert_Panel,Gemini_2.5_Pro,1,0.02791
Expert_Panel,Gemini_2.5_Pro,2,0.02324
Expert_Panel,Gemini_2.5_Pro,3,0.04395
Expert_Panel,o3,1,3e-05
Expert_Panel,o3,2,0.0094
Expert_Panel,o3,3,0.0
Minimal_Context,Claude_3.7,1,0.02929
Minimal_Context,Claude_3.7,2,0.02446
Minimal_Context,Claude_3.7,3,0.03248
Minimal_Context,Claude_3.7_Thinking,1,0.06762
Minimal_Context,Claude_3.7_Thinking,2,0.03037
Minimal_Context,Claude_3.7_Thinking,3,0.02249
Minimal_Context,DeepSeek_R1,1,0.03999
Minimal_Context,DeepSeek_R1,2,0.0628
Minimal_Context,DeepSeek_R1,3,0.05012
Minimal_Context,GPT_4.1,1,0.04642
Minimal_Context,GPT_4.1,2,0.0426
Minimal_Context,GPT_4.1,3,0.08552
Minimal_Context,Gemini_2.5_Pro,1,0.03296
Minimal_Context,Gemini_2.5_Pro,2,0.03538
Minimal_Context,Gemini_2.5_Pro,3,0.05303
Minimal_Context,o3,1,0.01024
Minimal_Context,o3,2,0.00848
Minimal_Context,o3,3,0.00021
