Model,Iteration,Prompting_Approach,CR
Claude-3.7-Thinking,1,Minimal Context,0.024
Claude-3.7-Thinking,2,Minimal Context,0.0115
Claude-3.7-Thinking,3,Minimal Context,0.0211
Claude-3.7-Thinking,4,Minimal Context,0.0319
Claude-3.7-Thinking,5,Minimal Context,0.0293
Claude-3.7-Thinking,6,Minimal Context,0.0318
Claude-3.7-Thinking,7,Minimal Context,0.0124
Claude-3.7-Thinking,8,Minimal Context,0.0241
Claude-3.7-Thinking,9,Minimal Context,0.0128
Claude-3.7-Thinking,10,Minimal Context,0.0281
Claude-3.7,1,Minimal Context,0.0197
Claude-3.7,2,Minimal Context,0.0265
Claude-3.7,3,Minimal Context,0.0309
Claude-3.7,4,Minimal Context,0.0244
Claude-3.7,5,Minimal Context,0.032
Claude-3.7,6,Minimal Context,0.0324
Claude-3.7,7,Minimal Context,0.0223
Claude-3.7,8,Minimal Context,0.0306
Claude-3.7,9,Minimal Context,0.0234
Claude-3.7,10,Minimal Context,0.0273
DeepSeek-R1,1,Minimal Context,0.0789
DeepSeek-R1,2,Minimal Context,0.04
DeepSeek-R1,3,Minimal Context,0.089
DeepSeek-R1,4,Minimal Context,0.0709
DeepSeek-R1,5,Minimal Context,0.0906
DeepSeek-R1,6,Minimal Context,0.0905
DeepSeek-R1,7,Minimal Context,0.1297
Gemini-2.5-Pro,1,Minimal Context,0.0282
Gemini-2.5-Pro,2,Minimal Context,0.046
Gemini-2.5-Pro,3,Minimal Context,0.0477
Gemini-2.5-Pro,4,Minimal Context,0.0326
Gemini-2.5-Pro,5,Minimal Context,0.0551
Gemini-2.5-Pro,6,Minimal Context,0.0404
Gemini-2.5-Pro,7,Minimal Context,0.0334
Gemini-2.5-Pro,8,Minimal Context,0.0334
Gemini-2.5-Pro,9,Minimal Context,0.0233
Gemini-2.5-Pro,10,Minimal Context,0.0401
GPT-4.1,1,Minimal Context,0.0956
GPT-4.1,2,Minimal Context,0.0299
GPT-4.1,3,Minimal Context,0.0304
GPT-4.1,4,Minimal Context,0.0334
GPT-4.1,5,Minimal Context,0.0243
GPT-4.1,6,Minimal Context,0.0471
GPT-4.1,7,Minimal Context,0.0333
GPT-4.1,8,Minimal Context,0.0591
GPT-4.1,9,Minimal Context,0.0513
GPT-4.1,10,Minimal Context,0.0262
o3,1,Minimal Context,0.0098
o3,2,Minimal Context,0.0353
o3,3,Minimal Context,0.0003
o3,4,Minimal Context,0.0002
o3,5,Minimal Context,0.0074
o3,6,Minimal Context,0.0112
o3,7,Minimal Context,0.0564
o3,8,Minimal Context,0.0091
o3,9,Minimal Context,0.0483
o3,10,Minimal Context,0.0002
